account_id,customer_id,account_type,balance,open_date,status
1,810,Loan,162473.44,2022-12-07,Closed
2,1864,Checking,9232.99,2023-11-29,Inactive
3,164,Savings,173513.29,2016-05-03,Inactive
4,1504,Savings,177777.77,2016-03-20,Closed
5,1513,Checking,84853.36,2023-06-02,Closed
6,1214,Savings,108321.07,2016-12-17,Active
7,1202,Checking,83120.58,2016-11-17,Inactive
8,1330,Checking,127014.53,2016-04-05,Closed
9,458,Checking,146246.81,2019-05-30,Closed
10,1623,Savings,34634.35,2021-09-11,Closed
11,388,Savings,145220.87,2018-09-02,Closed
12,2022,Checking,178489.69,2019-03-09,Inactive
13,1877,Loan,123256.85,2022-04-17,Closed
14,2145,Loan,91413.12,2019-04-02,Active
15,1338,Checking,7176.62,2021-05-27,Closed
16,415,Checking,102282.77,2017-12-27,Closed
17,323,Checking,185451.83,2017-05-28,Closed
18,1237,Checking,79848.29,2023-06-17,Active
19,1053,Loan,130405.53,2018-07-07,Active
20,1776,Savings,158625.78,2018-11-24,Closed
21,1069,Checking,122924.09,2019-12-25,Closed
22,999,Loan,159690.3,2015-08-25,Inactive
23,1938,Savings,152024.17,2021-03-20,Inactive
24,1126,Loan,137617.09,2016-12-07,Active
25,1134,Loan,134123.65,2021-10-20,Closed
26,1633,Savings,135480.75,2020-11-29,Inactive
27,21,Checking,41030.84,2024-07-12,Inactive
28,532,Checking,53044.18,2024-09-13,Closed
29,1304,Savings,43875.4,2022-11-04,Active
30,1330,Savings,12276.35,2022-08-12,Inactive
31,1887,Loan,83863.34,2019-09-03,Closed
32,1347,Loan,77502.42,2017-05-02,Closed
33,52,Checking,67789.49,2020-02-02,Inactive
34,1821,Savings,92120.48,2019-03-23,Closed
35,2044,Savings,106214.19,2024-09-05,Active
36,1598,Checking,80289.11,2023-05-24,Closed
37,322,Loan,97050.97,2016-06-02,Inactive
38,341,Savings,149476.18,2021-11-05,Closed
39,1513,Checking,58010.52,2017-04-30,Inactive
40,1850,Loan,93209.71,2016-07-21,Active
41,683,Loan,70001.09,2021-04-17,Inactive
42,1702,Savings,150153.38,2020-08-18,Inactive
43,2011,Savings,74744.51,2017-12-09,Closed
44,540,Checking,121227.91,2017-06-07,Active
45,398,Checking,43270.23,2017-05-16,Active
46,1186,Savings,172911.1,2024-05-04,Closed
47,1643,Loan,81407.5,2023-12-21,Active
48,1713,Loan,55415.38,2021-03-18,Inactive
49,433,Loan,176893.95,2019-10-30,Closed
50,1302,Loan,106893.22,2017-05-30,Inactive
51,923,Checking,98714.06,2017-12-23,Inactive
52,1173,Checking,30972.04,2022-01-13,Active
53,1639,Checking,169.14,2020-12-28,Inactive
54,1901,Loan,34040.27,2025-05-04,Active
55,1571,Loan,130447.4,2021-03-04,Inactive
56,1681,Savings,127101.58,2017-06-17,Closed
57,919,Savings,121746.07,2023-07-22,Closed
58,330,Loan,113902.23,2018-12-14,Inactive
59,94,Checking,121767.41,2019-06-03,Active
60,1933,Loan,17738.77,2022-02-28,Inactive
61,94,Loan,120069.19,2022-02-04,Closed
62,1595,Loan,102022.76,2022-08-28,Active
63,662,Checking,73497.4,2020-08-28,Active
64,718,Checking,187396.75,2024-10-17,Active
65,1322,Savings,58242.87,2017-07-02,Active
66,848,Loan,91966.51,2020-03-14,Active
67,1818,Savings,159249.09,2019-04-03,Inactive
68,2049,Loan,21787.04,2016-12-17,Closed
69,1357,Savings,48595.12,2019-03-03,Closed
70,287,Savings,149596.02,2023-02-15,Closed
71,1665,Loan,199104.68,2019-12-13,Inactive
72,289,Checking,191493.75,2015-11-09,Closed
73,496,Loan,155207.6,2015-06-21,Closed
74,2188,Loan,4255.89,2017-01-14,Inactive
75,245,Checking,162238.31,2025-02-07,Closed
76,164,Checking,79585.6,2024-10-05,Closed
77,1803,Checking,157378.42,2016-06-12,Active
78,598,Checking,151467.06,2017-06-14,Closed
79,458,Loan,33375.17,2017-04-16,Inactive
80,1392,Savings,182551.41,2015-07-17,Inactive
81,861,Checking,18973.7,2022-06-07,Closed
82,304,Checking,179788.66,2019-09-06,Inactive
83,1003,Checking,68159.8,2024-11-27,Closed
84,1822,Checking,157368.48,2018-04-05,Closed
85,1057,Loan,54697.45,2018-07-17,Active
86,574,Savings,104116.75,2020-02-12,Active
87,906,Checking,112489.66,2020-01-29,Closed
88,1193,Checking,188930.78,2019-06-18,Active
89,1249,Checking,142472.31,2018-03-01,Closed
90,1208,Savings,148618.5,2021-12-31,Closed
91,527,Savings,121293.61,2021-05-15,Inactive
92,1054,Loan,45197.56,2019-12-23,Active
93,1241,Savings,116639.07,2025-02-17,Inactive
94,1492,Loan,101472.61,2020-10-21,Closed
