loan_id,account_id,customer_id,loan_amount,loan_date,loan_status
L00001,2204,1426,7193.07,2019-09-25,rejected
L00002,1861,1019,49602.57,2018-02-19,pending
L00003,369,2154,23204.53,2018-05-23,closed
L00004,152,2110,17171.84,2022-07-05,pending
L00005,1575,1965,13126.96,2020-03-30,approved
L00006,1091,1990,23594.5,2018-11-11,approved
L00007,891,1010,11509.57,2018-08-07,pending
L00008,562,1195,13172.78,2022-07-15,approved
L00009,2182,82,43744.19,2019-07-19,approved
L00010,2496,188,39916.01,2018-12-10,closed
L00011,2010,943,42663.28,2021-08-28,approved
L00012,367,805,33860.21,2021-08-07,approved
L00013,1112,196,17072.6,2021-11-18,pending
L00014,727,875,43682.93,2019-11-22,approved
L00015,646,1691,39687.05,2019-06-25,closed
L00016,915,1457,48974.51,2022-07-29,pending
L00017,616,1232,44353.67,2020-11-20,approved
L00018,819,1922,49659.89,2018-12-31,pending
L00019,1142,74,48739.64,2021-01-21,closed
L00020,417,1816,5721.9,2022-09-13,closed
L00021,1064,57,24554.48,2021-08-26,approved
L00022,1883,320,16254.1,2021-10-24,approved
L00023,479,731,8915.69,2019-02-28,pending
L00024,1820,533,46478.54,2021-02-06,approved
L00025,1681,918,20306.34,2018-10-05,closed
L00026,1918,558,11285.76,2021-08-19,approved
L00027,2043,1370,42692.32,2018-02-15,approved
L00028,1266,418,44094.48,2021-06-14,pending
L00029,1835,1671,30596.4,2018-05-14,closed
L00030,116,1908,24575.43,2019-12-28,rejected
L00031,947,545,30940.93,2020-12-08,approved
L00032,1945,807,48943.18,2018-06-12,approved
L00033,236,592,34783.85,2021-04-01,pending
L00034,484,1892,43578.38,2019-03-30,approved
L00035,1689,1173,24069.3,2018-01-11,rejected
L00036,1607,17,5440.69,2020-02-13,approved
L00037,242,684,19558.79,2022-03-18,approved
L00038,1613,729,14868.96,2020-01-01,closed
L00039,129,1092,30577.12,2020-11-28,approved
L00040,1140,1531,47218.59,2021-09-10,approved
L00041,1832,1667,7312.91,2020-04-03,pending
L00042,2024,2103,41713.96,2022-01-19,approved
L00043,1534,2198,43218.38,2019-07-27,pending
L00044,1578,1435,21471.64,2022-01-07,closed
L00045,895,899,15356.17,2020-09-06,pending
L00046,439,1497,12196.12,2020-05-11,approved
L00047,1447,1014,18215.08,2018-05-25,approved
L00048,1648,141,35556.46,2021-08-15,approved
L00049,2374,1653,8286.59,2021-01-23,closed
L00050,462,951,7186.89,2018-07-27,approved
L00051,1207,1789,23826.5,2018-01-22,approved
L00052,1825,1385,7550.8,2022-04-21,pending
L00053,1905,1167,9113.99,2018-08-08,approved
L00054,1466,2200,23453.4,2020-12-30,approved
L00055,553,64,27144.98,2022-04-30,closed
L00056,1991,736,29006.84,2022-06-21,approved
L00057,1521,971,26483.71,2019-08-19,pending
L00058,1571,2038,49448.35,2019-11-27,approved
L00059,1903,941,8256.28,2018-11-12,approved
L00060,1389,178,38287.26,2021-09-26,pending
L00061,293,1340,38385.34,2018-05-06,approved
L00062,1594,1140,13097.91,2020-10-10,approved
L00063,2026,823,45729.57,2019-05-04,approved
L00064,277,2012,28523.65,2018-10-29,rejected
L00065,1438,1829,6563.35,2022-01-10,approved
L00066,354,943,34820.0,2022-07-25,approved
L00067,1384,946,13667.85,2021-02-12,closed
L00068,114,241,11432.78,2021-01-08,approved
L00069,777,659,34074.45,2020-10-17,pending
L00070,2352,640,28123.24,2021-11-22,approved
L00071,1385,1602,31673.55,2021-07-21,approved
L00072,898,1544,38791.13,2020-02-28,pending
L00073,344,685,7981.58,2019-08-26,approved
L00074,1752,536,11603.79,2020-09-10,approved
L00075,1151,665,29178.42,2022-11-10,approved
L00076,712,1148,23971.92,2019-02-10,rejected
L00077,2440,517,23043.27,2021-02-08,approved
L00078,1910,1057,5211.45,2021-05-14,rejected
L00079,2449,152,20973.87,2021-06-13,pending
L00080,246,1653,13268.11,2022-12-09,closed
L00081,297,2014,43536.41,2021-03-14,rejected
L00082,1087,333,49204.22,2018-03-15,approved
L00083,1187,1026,33971.15,2019-10-03,pending
L00084,387,1666,42824.44,2018-09-14,approved
L00085,283,821,46095.32,2018-11-21,closed
L00086,172,1317,8717.42,2021-08-06,pending
L00087,1297,821,45939.9,2022-05-29,approved
L00088,809,867,22642.44,2022-11-15,pending
L00089,2412,1182,19713.06,2019-03-16,closed
L00090,805,1330,18978.58,2020-12-06,pending
L00091,392,844,19397.15,2022-08-13,pending
L00092,991,383,8870.93,2022-04-01,approved
L00093,2399,364,43428.59,2019-10-08,closed
L00094,1178,1437,24357.22,2022-05-05,rejected
L00095,90,1042,23867.49,2018-05-12,rejected
L00096,1119,127,17575.62,2021-11-07,approved
L00097,1543,502,42576.6,2018-08-19,approved
L00098,2241,81,31428.45,2018-07-20,pending
L00099,724,547,31876.73,2022-08-30,closed
L00100,876,1904,29452.91,2021-11-12,approved
L00101,635,1719,39490.24,2022-06-25,approved
L00102,907,1921,41048.08,2021-01-02,approved
L00103,1370,941,43867.86,2022-08-23,pending
L00104,538,523,14065.27,2019-06-26,approved
L00105,1080,1629,22000.07,2019-11-23,pending
L00106,165,1542,38841.08,2019-02-01,closed
L00107,206,544,20226.98,2021-11-26,approved
L00108,2289,1559,17347.97,2018-02-11,approved
L00109,4,842,21279.08,2020-02-22,rejected
L00110,1700,1910,29007.68,2020-12-12,approved
L00111,2389,681,16716.71,2020-12-16,pending
L00112,1306,1285,15426.64,2022-03-13,approved
L00113,903,1713,37952.91,2018-02-27,approved
L00114,739,762,35183.42,2020-11-06,pending
L00115,2007,1144,43748.98,2021-12-27,approved
L00116,1538,370,26580.82,2020-08-08,approved
L00117,1477,744,35779.79,2021-02-14,pending
L00118,2375,878,33112.81,2022-06-12,pending
L00119,1374,1008,37876.5,2020-07-11,approved
L00120,2074,556,21478.69,2020-12-19,approved
L00121,267,531,13573.81,2018-06-16,closed
L00122,1086,1507,48455.35,2021-06-26,approved
L00123,2411,1700,40803.89,2022-06-04,rejected
L00124,2228,1416,39903.57,2022-11-10,approved
L00125,450,613,11180.41,2020-11-16,approved
L00126,1481,1202,23047.08,2018-09-19,closed
L00127,1305,713,19804.27,2021-11-19,approved
L00128,1158,787,26019.64,2022-06-21,pending
L00129,2344,1005,42974.01,2022-08-20,pending
L00130,722,328,8041.87,2021-07-06,closed
L00131,1658,1763,25173.71,2018-04-02,pending
L00132,2064,1309,18451.16,2018-11-17,approved
L00133,1731,1910,20038.39,2020-09-07,approved
L00134,1337,1616,40081.9,2020-03-25,approved
L00135,730,171,22849.83,2022-03-31,approved
L00136,726,33,24691.24,2020-05-28,pending
L00137,52,2094,31868.98,2021-09-25,closed
L00138,1735,1491,41467.55,2019-02-06,approved
L00139,678,105,8119.65,2020-04-30,pending
L00140,1898,925,9158.23,2021-12-21,pending
L00141,883,1533,8690.68,2019-02-18,approved
L00142,2293,36,13498.91,2021-07-13,rejected
L00143,1759,437,29437.69,2019-09-30,approved
L00144,996,1610,27740.4,2022-11-17,closed
L00145,53,1695,11578.63,2021-03-22,pending
L00146,1990,2019,17171.97,2021-02-10,closed
L00147,1402,1948,31206.87,2020-04-26,closed
L00148,1174,514,6802.09,2020-09-01,approved
L00149,604,1226,28008.5,2022-11-17,pending
L00150,810,2130,46676.06,2019-06-15,approved
L00151,1382,775,11850.49,2019-06-08,approved
L00152,1432,1745,15207.68,2018-01-06,approved
L00153,2386,2073,23732.82,2018-09-10,approved
L00154,347,1898,44070.7,2022-08-09,approved
L00155,522,1375,27221.98,2022-03-21,pending
L00156,632,1041,38430.87,2022-09-13,pending
L00157,2265,647,18770.34,2022-06-12,closed
L00158,2340,2095,42899.32,2018-11-23,closed
L00159,633,162,42426.25,2019-05-01,pending
L00160,1092,348,14344.87,2021-01-24,approved
L00161,1867,472,33321.54,2021-08-04,approved
L00162,1620,280,38074.65,2018-02-25,pending
L00163,249,2190,33325.05,2021-07-15,pending
L00164,866,1123,18686.56,2019-10-13,closed
L00165,180,111,21367.92,2019-12-11,pending
L00166,1130,65,22360.48,2022-07-08,approved
L00167,2217,410,44325.74,2021-08-05,rejected
L00168,21,403,13492.08,2021-02-15,approved
L00169,1096,543,16287.85,2018-05-11,rejected
L00170,967,2152,34723.89,2021-07-07,closed
L00171,409,1987,42997.05,2019-06-16,approved
L00172,118,1792,15790.44,2019-03-15,approved
L00173,1013,1000,7080.42,2022-04-05,pending
L00174,229,1664,23157.73,2021-06-24,pending
L00175,218,1311,28122.04,2022-04-25,approved
L00176,2072,1013,32595.83,2018-11-18,approved
L00177,1576,866,14537.89,2021-02-11,closed
L00178,2286,1901,29975.82,2022-10-30,rejected
L00179,621,1973,38070.09,2022-08-14,pending
L00180,2231,1737,9354.13,2019-04-21,approved
L00181,2137,595,29348.81,2022-12-13,pending
L00182,1404,593,24084.05,2018-01-13,pending
L00183,794,451,12300.44,2021-11-03,approved
L00184,2296,684,33496.53,2019-06-20,approved
L00185,2282,1857,34782.49,2019-06-19,approved
L00186,2152,2061,34111.9,2020-05-27,approved
L00187,1782,1595,8608.91,2019-05-14,approved
L00188,1619,1530,8773.15,2019-06-30,approved
L00189,1958,1585,10015.1,2020-07-10,approved
L00190,2248,428,36135.03,2020-11-03,approved
L00191,1313,2042,7442.45,2020-05-04,closed
L00192,1056,846,16632.2,2021-12-02,closed
L00193,451,1307,8840.3,2022-11-04,pending
L00194,2460,2162,33302.84,2020-08-15,approved
L00195,561,1546,16479.53,2019-02-08,closed
L00196,1083,1117,34817.68,2020-04-24,approved
L00197,393,421,39466.89,2022-09-06,closed
L00198,2272,1725,46706.92,2020-08-05,approved
L00199,67,315,49386.58,2020-04-24,closed
L00200,1974,1239,14015.94,2019-04-29,pending
L00201,2332,2154,42529.74,2018-01-09,approved
L00202,1491,782,26527.35,2020-09-21,approved
L00203,666,1712,26280.74,2021-05-13,approved
L00204,184,56,39205.01,2018-07-13,approved
L00205,1880,1152,16067.08,2020-09-24,approved
L00206,1150,1832,48706.07,2021-12-26,rejected
L00207,240,458,13310.28,2018-04-04,approved
L00208,1176,135,36770.93,2022-03-03,approved
L00209,2379,1592,32503.03,2021-01-18,pending
L00210,1524,1939,13640.54,2018-02-22,approved
L00211,1890,738,49710.68,2022-03-10,approved
L00212,1131,1931,33088.62,2018-04-02,closed
L00213,1185,1502,21789.69,2022-09-19,approved
L00214,2266,302,6157.08,2019-06-30,approved
L00215,2100,1725,25126.28,2018-05-20,closed
L00216,845,99,46523.79,2020-10-05,approved
L00217,151,691,26130.52,2020-06-30,approved
L00218,957,1156,9952.66,2018-12-11,approved
L00219,1721,1619,19673.03,2020-12-13,approved
L00220,1262,2149,11442.62,2022-07-17,approved
L00221,2444,78,10092.39,2022-07-29,approved
L00222,2384,212,14899.34,2020-07-31,closed
L00223,2427,1430,18010.43,2018-06-30,approved
L00224,448,1131,28599.96,2019-07-03,closed
L00225,130,1202,39063.97,2022-01-15,approved
L00226,1736,177,33770.98,2020-06-13,approved
L00227,2415,788,31281.96,2018-04-25,approved
L00228,1149,1549,28579.97,2020-01-11,approved
L00229,1333,423,15548.15,2018-01-20,rejected
L00230,1869,2073,6492.1,2021-05-15,pending
L00231,412,2131,24100.84,2020-01-06,approved
